,Code,Name,Market,Marcap
2278,328380,솔트웨어,KOSDAQ,42485844720
2279,035290,골드앤에스,KOSDAQ,42409364932
2280,372800,아이티아이즈,KOSDAQ,42309469800
2281,060380,동양에스텍,KOSDAQ,42256500000
2282,006125,SK디스커버리우,KOSPI,42180027750
2283,296640,이노룰스,KOSDAQ,42150971280
2284,089230,THE E&M,KOSDAQ,42144848602
2285,101000,상상인인더스트리,KOSDAQ,42065963520
2286,435620,하나금융25호스팩,KOSDAQ,41987520000
2287,227100,에이치앤비디자인,KOSDAQ,41865654600
2288,016920,카스,KOSDAQ,41409399894
2289,035460,기산텔레콤,KOSDAQ,41399645600
2290,187790,나노,KOSDAQ,41388393860
2291,002880,대유에이텍,KOSPI,41247629275
2292,184230,SGA솔루션즈,KOSDAQ,41182290240
2293,039980,리노스,KOSDAQ,41159637189
2294,043710,서울리거,KOSDAQ,41062683840
2295,065060,지엔코,KOSDAQ,40967362392
2296,067010,이씨에스,KOSDAQ,40939020000
2297,003465,유화증권우,KOSPI,40894834500
2298,024070,WISCOM,KOSPI,40844957270
2299,424760,벨로크,KOSDAQ,40745754670
2300,208350,지란지교시큐리티,KOSDAQ,40745710890
2301,008775,호텔신라우,KOSPI,40676653900
2302,080530,코디,KOSDAQ,40662205900
2303,039310,세중,KOSDAQ,40592534080
2304,900110,이스트아시아홀딩스,KOSDAQ,40578554950
2305,045300,성우테크론,KOSDAQ,40535506880
2306,123750,알톤스포츠,KOSDAQ,40533224460
2307,900300,오가닉티코스메틱,KOSDAQ,40468474365
2308,290270,휴네시온,KOSDAQ,40448299120
2309,094860,네오리진,KOSDAQ,40425932925
2310,026040,제이에스티나,KOSDAQ,40269247600
2311,045340,토탈소프트,KOSDAQ,40179997800
2312,448900,한국피아이엠,KONEX,39961350000
2313,032080,아즈텍WB,KOSDAQ,39951822911
2314,065500,오리엔트정공,KOSDAQ,39932583296
2315,190650,코리아에셋투자증권,KOSDAQ,39925000000
2316,052860,아이앤씨,KOSDAQ,39923478690
2317,012620,원일특강,KOSDAQ,39864000000
2318,008470,부스타,KOSDAQ,39796728000
2319,092600,앤씨앤,KOSDAQ,39782457962
2320,043590,웰킵스하이텍,KOSDAQ,39750448950
2321,318160,셀바이오휴먼텍,KOSDAQ,39702246605
2322,159910,스킨앤스킨,KOSDAQ,39664883888
2323,075130,플랜티넷,KOSDAQ,39644233200
2324,013000,세우글로벌,KOSPI,39641647811
2325,059100,아이컴포넌트,KOSDAQ,39596816000
2326,002680,한탑,KOSDAQ,39473179172
2327,163430,디피코,KONEX,39416507530
2328,052300,씨티프라퍼티,KOSDAQ,39392274760
2329,093380,풍강,KOSDAQ,39369062305
2330,177350,베셀,KOSDAQ,39310501860
2331,080470,성창오토텍,KOSDAQ,39274000000
2332,010400,우진아이엔에스,KOSPI,39100860000
2333,048470,대동스틸,KOSDAQ,39000000000
2334,258790,소프트캠프,KOSDAQ,38986403040
2335,002070,비비안,KOSPI,38910950940
2336,080720,한국유니온제약,KOSDAQ,38886341760
2337,049470,SGA,KOSDAQ,38731359842
2338,002420,세기상사,KOSPI,38689582080
2339,036480,대성미생물,KOSDAQ,38646000000
2340,179530,애드바이오텍,KOSDAQ,38618375900
2341,009140,경인전자,KOSPI,38563066350
2342,037400,우리엔터프라이즈,KOSDAQ,38548318620
2343,045510,정원엔시스,KOSDAQ,38522313232
2344,002690,동일제강,KOSPI,38489482560
2345,066790,씨씨에스,KOSDAQ,38433188416
2346,000950,전방,KOSPI,38388000000
2347,005030,부산주공,KOSPI,38288532168
2348,084670,동양고속,KOSPI,38279422180
2349,016670,디모아,KOSDAQ,38196759000
2350,310870,디와이씨,KOSDAQ,38188702266
2351,149300,아퓨어스,KONEX,38176695172
2352,095910,에스에너지,KOSDAQ,38111798862
2353,001420,태원물산,KOSPI,38076000000
2354,191410,육일씨엔에쓰,KOSDAQ,37915884160
2355,224060,더코디,KOSDAQ,37892216040
2356,331920,셀레믹스,KOSDAQ,37840825980
2357,110020,전진바이오팜,KOSDAQ,37800916140
2358,030720,동원수산,KOSPI,37788896600
2359,37550K,DL이앤씨우,KOSPI,37690569550
2360,038530,케이바이오,KOSDAQ,37607162775
2361,154040,다산솔루에타,KOSDAQ,37515696460
2362,018620,우진비앤지,KOSDAQ,37353855849
2363,344860,이노진,KOSDAQ,37293000000
2364,101400,엔시트론,KOSDAQ,37287321120
2365,225590,패션플랫폼,KOSDAQ,37264761487
2366,020400,대동금속,KOSDAQ,37217567220
2367,279060,이노벡스,KONEX,37207811600
2368,192390,윈하이텍,KOSDAQ,37151141040
2369,215480,토박스코리아,KOSDAQ,37065659235
2370,114450,그린생명과학,KOSDAQ,37050000000
2371,113810,디젠스,KOSDAQ,37000209834
2372,237750,피앤씨테크,KOSDAQ,36900688000
2373,131180,딜리,KOSDAQ,36834250000
2374,011090,에넥스,KOSPI,36774875933
2375,084440,유비온,KOSDAQ,36685520800
2376,072950,빛샘전자,KOSDAQ,36639375500
2377,044380,주연테크,KOSPI,36466734304
2378,130740,티피씨글로벌,KOSDAQ,36310906380
2379,007120,미래아이앤지,KOSPI,36220775616
2380,071460,위니아,KOSDAQ,36183098770
2381,243870,굿센,KONEX,36173270000
2382,308100,까스텔바작,KOSDAQ,36171042180
2383,086060,진바이오텍,KOSDAQ,36164465400
2384,900070,글로벌에스엠,KOSDAQ,36062202528
2385,079000,와토스코리아,KOSDAQ,36000000000
2386,000215,DL우,KOSPI,35998555250
2387,154030,아시아종묘,KOSDAQ,35975914165
2388,033050,제이엠아이,KOSDAQ,35869855542
2389,014100,메디앙스,KOSDAQ,35813000000
2390,032800,판타지오,KOSDAQ,35806729376
2391,081580,성우전자,KOSDAQ,35668728900
2392,117670,알파홀딩스,KOSDAQ,35605449180
2393,014910,성문전자,KOSPI,35488356300
2394,030350,드래곤플라이,KOSDAQ,35388376230
2395,035200,프럼파스트,KOSDAQ,35370694650
2396,191600,블루탑,KONEX,35283000000
2397,044780,에이치케이,KOSDAQ,35253524235
2398,123840,한일진공,KOSDAQ,35083231904
2399,065150,DSEN,KOSDAQ,35079073400
2400,071850,캐스텍코리아,KOSDAQ,34878140740
2401,317530,캐리소프트,KOSDAQ,34875591960
2402,063760,이엘피,KOSDAQ,34829360550
2403,015020,이스타코,KOSPI,34752647600
2404,333050,모코엠시스,KOSDAQ,34738512650
2405,008600,윌비스,KOSPI,34626560085
2406,161570,THE MIDONG,KOSDAQ,34598020560
2407,365900,브이씨,KOSDAQ,34577719000
2408,060260,뉴보텍,KOSDAQ,34494837350
2409,439250,삼성스팩7호,KOSDAQ,34319600000
2410,390110,애니메디솔루션,KONEX,34259109690
2411,003475,유안타증권우,KOSPI,34217361800
2412,361670,삼영에스앤씨,KOSDAQ,34175977740
2413,027040,서울전자통신,KOSDAQ,34098535030
2414,038340,MIT,KOSDAQ,33979354334
2415,079650,서산,KOSDAQ,33820000000
2416,103230,에스앤더블류,KOSDAQ,33768000000
2417,204210,모두투어리츠,KOSPI,33694438575
2418,048830,엔피케이,KOSDAQ,33665613554
2419,053060,세동,KOSDAQ,33549096100
2420,152550,한국ANKOR유전,KOSPI,33469560000
2421,054940,엑사이엔씨,KOSDAQ,33405762836
2422,098660,에스티오,KOSDAQ,33377605920
2423,008290,원풍물산,KOSDAQ,33287429422
2424,002870,신풍,KOSPI,33280682400
2425,099410,동방선기,KOSDAQ,33175454900
2426,091340,S&K폴리텍,KOSDAQ,33121530430
2427,006380,카프로,KOSPI,32920000000
2428,019685,대교우B,KOSPI,32773332130
2429,050760,에스폴리텍,KOSDAQ,32751029390
2430,148780,비플라이소프트,KOSDAQ,32672108275
2431,025890,한국주강,KOSPI,32627212215
2432,058530,파나케이아,KOSDAQ,32527053360
2433,002820,SUN&L,KOSPI,32402531730
2434,054180,메디콕스,KOSDAQ,32152795119
2435,058450,엔터파트너즈,KOSDAQ,32126091536
2436,017250,인터엠,KOSDAQ,32073291708
2437,225430,케이엠제약,KOSDAQ,32070107500
2438,900280,골든센츄리,KOSDAQ,32043068928
2439,079190,케스피온,KOSDAQ,31950143162
2440,067730,로지시스,KOSDAQ,31778833770
2441,111870,KH 전자,KOSDAQ,31672044360
2442,065770,CS,KOSDAQ,31562497380
2443,138360,협진,KOSDAQ,31531517424
2444,215380,우정바이오,KOSDAQ,31486751730
2445,060480,국일신동,KOSDAQ,31440150000
2446,456190,큐라켐,KONEX,31436805120
2447,003680,한성기업,KOSPI,31420145900
2448,025870,신라에스지,KOSDAQ,31400000000
2449,001210,금호전기,KOSPI,31225296225
2450,137940,넥스트아이,KOSDAQ,31171754816
2451,290660,네오펙트,KOSDAQ,30947885100
2452,083640,인콘,KOSDAQ,30758715360
2453,196700,웹스,KOSDAQ,30739268160
2454,043200,파루,KOSDAQ,30642562895
2455,079950,인베니아,KOSDAQ,30392000000
2456,335870,윙스풋,KOSDAQ,30360188040
2457,073190,듀오백,KOSDAQ,30279141200
2458,005110,한창,KOSPI,30235410400
2459,001465,BYC우,KOSPI,30153900000
2460,072520,제넨바이오,KOSDAQ,30125003238
2461,032280,삼일,KOSDAQ,30076209450
2462,206950,볼빅,KONEX,30054960775
2463,169670,코스텍시스템,KONEX,29974790450
2464,33626L,두산퓨얼셀2우B,KOSPI,29833137000
2465,900260,로스웰,KOSDAQ,29797875176
2466,025620,제이준코스메틱,KOSPI,29779377440
2467,106240,파인테크닉스,KOSDAQ,29776116590
2468,068940,셀피글로벌,KOSDAQ,29766744466
2469,250930,예선테크,KOSDAQ,29766396880
2470,115530,씨엔플러스,KOSDAQ,29699831000
2471,043100,솔고바이오,KOSDAQ,29605126768
2472,010420,한솔PNS,KOSPI,29468951256
2473,009310,참엔지니어링,KOSPI,29315974662
2474,073540,에프알텍,KOSDAQ,29241000000
2475,076340,관악산업,KONEX,29131330800
2476,403360,라피치,KONEX,29127120000
2477,451700,엔에이치스팩29호,KOSDAQ,28843500000
2478,115570,스타플렉스,KOSDAQ,28744228800
2479,275630,에스에스알,KOSDAQ,28735897475
2480,207490,에이펙스인텍,KONEX,28728000000
2481,00499K,롯데지주우,KOSPI,28478066050
2482,003495,대한항공우,KOSPI,28436326400
2483,311060,엘에이티,KONEX,28357409760
2484,001770,SHD,KOSPI,28002937900
2485,088790,진도,KOSPI,27758469120
2486,054220,비츠로시스,KOSDAQ,27677417237
2487,148140,비디아이,KOSDAQ,27653546880
2488,402420,켈스,KONEX,27609096000
2489,419700,이브이파킹서비스,KONEX,27449465468
2490,123330,제닉,KOSDAQ,27300000000
2491,219750,지티지웰니스,KOSDAQ,27234072750
2492,043360,디지아이,KOSDAQ,27135000000
2493,233250,메디안디노스틱,KONEX,27071277000
2494,322970,무진메디,KONEX,26828935580
2495,054410,케이피티유,KOSDAQ,26666200000
2496,091970,나노캠텍,KOSDAQ,26603837523
2497,070590,한솔인티큐브,KOSDAQ,26565403194
2498,005257,녹십자홀딩스2우,KOSPI,26564086000
2499,283100,노보믹스,KONEX,26555016455
2500,134060,이퓨쳐,KOSDAQ,26517030000
2501,023790,동일철강,KOSDAQ,26509786200
2502,257990,나우코스,KONEX,26448094540
2503,026910,광진실업,KOSDAQ,26134052400
2504,379390,이성씨엔아이,KONEX,26113017400
2505,091440,텔레필드,KOSDAQ,26004492060
2506,299910,베스파,KOSDAQ,25974889140
2507,011080,형지I&C,KOSDAQ,25936920171
2508,004365,세방우,KOSPI,25566502500
2509,149010,아이케이세미콘,KONEX,25240800000
2510,208860,엔지스테크널러지,KOSDAQ,25233717915
2511,212310,휴벡셀,KONEX,25127338425
2512,054630,에이디칩스,KOSDAQ,25108480215
2513,223310,커머스마이너,KOSDAQ,24979829148
2514,321820,와이더플래닛,KOSDAQ,24973439430
2515,069330,유아이디,KOSDAQ,24919555796
2516,114120,크루셜텍,KOSDAQ,24913021350
2517,065420,에스아이리소스,KOSDAQ,24837322753
2518,101680,한국정밀기계,KOSDAQ,24833820000
2519,039740,한국정보공학,KOSDAQ,24736754745
2520,367360,DB금융스팩9호,KOSDAQ,24684000000
2521,217880,틸론,KONEX,24136402500
2522,343090,HLB사이언스,KONEX,24059756250
2523,296520,가이아코퍼레이션,KONEX,24035091200
2524,050090,비케이홀딩스,KOSDAQ,23919744615
2525,033790,스카이문스테크놀로지,KOSDAQ,23433309900
2526,224760,엔에스컴퍼니,KONEX,23204833000
2527,446440,에피바이오텍,KONEX,22975040000
2528,199290,바이오프로테크,KONEX,22843033564
2529,900120,씨케이에이치,KOSDAQ,22737454885
2530,067770,세진티에스,KOSDAQ,22628818135
2531,251280,안지오랩,KONEX,22610099180
2532,214310,에스엘에너지,KOSDAQ,22516276518
2533,456700,길교이앤씨,KONEX,22500000000
2534,062970,피피아이,KOSDAQ,22293103075
2535,065690,파커스,KOSDAQ,22254140304
2536,317860,노드메이슨,KONEX,22148575000
2537,35320K,대덕전자1우,KOSPI,21961039120
2538,078860,아이오케이,KOSDAQ,21916835616
2539,199150,데이터스트림즈,KONEX,21769926300
2540,446600,카이바이오텍,KONEX,21588182000
2541,900270,헝셩그룹,KOSDAQ,21334818000
2542,222670,플럼라인생명과학,KONEX,21248831100
2543,069140,누리플랜,KOSDAQ,21130660425
2544,070300,엑스큐어,KOSDAQ,20845989420
2545,096870,엘디티,KOSDAQ,20769824000
2546,108675,LX하우시스우,KOSPI,20698216500
2547,052960,태양3C,KONEX,20525727600
2548,086220,비엘헬스케어,KONEX,20407559450
2549,003535,한화투자증권우,KOSPI,20160000000
2550,449020,유안타제13호스팩,KOSDAQ,19557300000
2551,002355,넥센타이어1우B,KOSPI,19370000000
2552,001795,대한제당우,KOSPI,19351038600
2553,030790,비케이탑스,KOSPI,19208323080
2554,086460,큐러블,KONEX,19106100000
2555,001685,대상우,KOSPI,19073504160
2556,007815,코리아써우,KOSPI,19062956700
2557,046070,코다코,KOSDAQ,18789072687
2558,238500,로보쓰리에이아이앤로보틱스,KONEX,18632131158
2559,071950,코아스,KOSPI,18513418790
2560,223220,로지스몬,KONEX,18420470400
